time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1770503310.077169,0.694837,0.682280,1.750274,0.871474,0.035039,-0.000305,-0.001979,-0.007685,0,0,0,0,0,0,0,0,-0.093747,0.018523,-0.000080,-0.007959
1770503310.110541,0.693915,0.681981,1.750271,0.870951,0.032170,0.000311,-0.001926,-0.008254,0,0,0,0,0,0,0,0,-0.087628,0.016622,-0.000081,-0.006511
1770503310.143821,0.692160,0.681335,1.750267,0.870498,0.028609,0.001372,-0.001873,-0.008668,0,0,0,0,0,0,0,0,-0.080788,0.014479,-0.000082,-0.004984
1770503310.177099,0.691193,0.680947,1.750267,0.870127,0.026112,0.001914,-0.001828,-0.008932,0,0,0,0,0,0,0,0,-0.073716,0.012330,-0.000083,-0.003427
1770503310.210521,0.688461,0.679844,1.750263,0.869698,0.020640,0.003399,-0.001747,-0.008554,0,0,0,0,0,0,0,0,-0.066154,0.009998,-0.000085,-0.001895
1770503310.243761,0.688461,0.679844,1.750263,0.869698,0.020640,0.003399,-0.001747,-0.008554,0,0,0,0,0,0,0,0,-0.058487,0.007683,-0.000087,-0.000435
1770503310.277167,0.686654,0.679107,1.750259,0.869645,0.017408,0.004356,-0.001708,-0.007856,0,0,0,0,0,0,0,0,-0.050355,0.005201,-0.000088,0.000907
1770503310.310539,0.685601,0.678664,1.750258,0.869705,0.015039,0.004849,-0.001670,-0.006895,0,0,0,0,0,0,0,0,-0.042155,0.002757,-0.000090,0.002087
1770503310.343924,0.683713,0.677869,1.750251,0.869876,0.011667,0.005774,-0.001634,-0.005773,0,0,0,0,0,0,0,0,-0.033488,0.000166,-0.000091,0.003067
1770503310.377127,0.682700,0.677401,1.750251,0.870142,0.009527,0.006182,-0.001600,-0.004382,0,0,0,0,0,0,0,0,-0.024883,-0.002345,-0.000093,0.003822
1770503310.410514,0.680013,0.676197,1.750248,0.870919,0.004761,0.007332,-0.001544,-0.001240,0,0,0,0,0,0,0,0,-0.016045,-0.004943,-0.000095,0.004330
1770503310.443808,0.678448,0.675486,1.750248,0.871387,0.002315,0.008023,-0.001521,0.000559,0,0,0,0,0,0,0,0,-0.114441,0.095551,-0.100085,0.103897
1770503310.477211,0.677537,0.675069,1.750248,0.871893,0.000649,0.008346,-0.001497,0.002297,0,0,0,0,0,0,0,0,-0.151211,0.150062,-0.126457,0.193507
