time,ksp_x,ksd_x,kp_x,ksp_y,ksd_y,kp_y,ksp_z,ksd_z,kp_z,ksp_psi,ksd_psi,kp_psi,kd_x,kd_y,kd_z,kd_psi,error_x,error_y
1770507214.3056536,1.24,2.65,0.4,1.26,2.14,0.5,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1770507224.3060617,1.1904,2.968,0.4,1.26,2.5252,0.475,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.27053369196545984,0.09449566274884175
1770507234.3057919,1.1904,3.5022399999999996,0.38,1.2096,2.828224,0.475,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.0706002994167901,0.35023346413328127
1770507244.305905,1.1904,3.5022399999999996,0.38,1.2096,3.33730432,0.45125,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.37910886567137164,0.08286915070689611
1770507254.3056662,1.1427839999999998,3.9225087999999997,0.38,1.161216,3.7377808384000004,0.45125,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.20562186111549347,0.22261278908797327
1770507264.3057125,1.1427839999999998,3.9225087999999997,0.38,1.1147673599999999,4.186314539008001,0.45125,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.25639752093138685,0.19478478705728863
1770507274.3057783,1.0970726399999997,4.393209856,0.38,1.1147673599999999,4.939851156029441,0.42868749999999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.26236503448228415,0.1434806692338935
1770507284.3058426,1.0970726399999997,5.18398763008,0.361,1.1147673599999999,4.939851156029441,0.42868749999999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.10490945452069507,0.3304674618431288
1770507294.3056421,1.0970726399999997,5.18398763008,0.361,1.1147673599999999,5.82902436411474,0.40725312499999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.46922806080580026,0.1130195705276898
1770507304.30588,1.0531897343999996,5.8060661456896,0.361,1.0701766655999998,6.528507287808509,0.40725312499999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.33791718399358084,0.18135683247582945
1770507314.3057764,1.0531897343999996,5.8060661456896,0.361,1.0701766655999998,6.528507287808509,0.40725312499999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.2956802866632313,0.20463233343498496
1770507324.3060675,1.0531897343999996,5.8060661456896,0.361,1.0273695989759997,7.311928162345531,0.40725312499999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.4496468981432192,0.1870790498855284
1770507334.3059065,1.0531897343999996,6.851158051913728,0.34295,1.0273695989759997,7.311928162345531,0.40725312499999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.12824255355078165,0.34281685117449573
1770507344.3059316,1.0531897343999996,6.851158051913728,0.34295,1.0273695989759997,8.0,0.38689046874999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.5459921427773629,0.11836743970080707
1770507354.3059604,1.0110621450239996,7.673297018143376,0.34295,0.9862748150169597,8.0,0.38689046874999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.33165107628250906,0.16013325421641003
1770507364.305819,1.0110621450239996,7.673297018143376,0.34295,0.9862748150169597,8.0,0.38689046874999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.21633097675054483,0.2895298088116139
1770507374.3057668,1.0110621450239996,7.673297018143376,0.34295,0.9468238224162813,8.0,0.38689046874999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.4424086759480455,0.19231047025940323
1770507384.3057375,1.0110621450239996,8.0,0.32580249999999994,0.9468238224162813,8.0,0.38689046874999994,1.8,4.5,0.6,3.0,5.5,0.7,0.0,0.0,0.0,0.0,0.12834589438179608,0.4982021674980154
